word,count
aa,15249
aaa,8313
aaaa,825
aaas,667
aab,953
aac,1514
aachen,3533
aacsb,542
aacta,361
aad,469
aadi,390
aadmi,513
aadt,588
aaf,1984
aafc,429
aag,646
aage,789
aagpbl,369
aah,422
aai,710
aaj,1157
aaja,361
aakash,257
aal,380
aalborg,1500
aalen,355
aalesund,367
aaliyah,756
aalst,477
aalto,730
aaltonen,304
aam,966
aami,557
aamir,971
aan,2196
aao,385
aap,1072
aar,1114
aarau,608
aardman,310
aardvark,745
aare,388
aargau,847
aarhus,2397
aarne,582
aaron,30787
aarons,297
aaronson,259
aarp,475
aarti,539
aas,1092
aase,337
aashiq,254
aat,369
aau,1545
aaya,319
aaye,289
aayiram,288
ab,21220
aba,4275
ababa,2364
abacha,411
aback,801
abaco,320
abacus,838
abad,1855
abadan,423
abaddon,270
abadi,293
abaft,254
abajo,602
abalone,615
abandon,16173
abandoned,75087
abandoning,6640
abandonment,6568
abandons,2641
abang,281
abarth,463
abas,281
abate,1003
abated,705
abatement,758
abattoir,493
abay,278
abaya,376
abaza,268
abb,1175
abba,3353
abbacy,329
abbado,497
abbas,6387
abbasi,770
abbasid,1983
abbasids,567
abbate,291
abbaye,1000
abbe,938
abbess,2298
abbesses,421
abbeville,1427
abbey,30222
abbeys,1543
abbie,1043
abbot,11493
abbots,1986
abbotsford,1465
abbott,9867
abbottabad,599
abbotts,380
abbr,587
abbreviated,20261
abbreviation,9651
abbreviations,3673
abby,3526
abbé,1810
abc,43386
abcd,492
abcs,390
abd,5642
abdal,319
abdali,291
abdalla,358
abdallah,2178
abdel,3630
abdelaziz,650
abdelkader,549
abdellah,324
abdellatif,257
abderrahmane,275
abdi,1095
abdicate,1513
abdicated,2423
abdicates,310
abdication,2554
abdo,292
abdomen,6441
abdomens,300
abdominal,4915
abdou,523
abdoulaye,693
abdu,861
abduct,1116
abducted,5508
abducting,724
abduction,4058
abductions,703
abductor,395
abductors,265
abducts,721
abdul,17167
abdulaziz,1375
abdulla,1069
abdullah,10023
abdullahi,594
abdulrahman,611
abdur,1340
abdurrahman,489
abdus,634
abe,6976
abeam,269
abebe,334
abed,700
abeille,267
abel,8490
abelard,452
abelardo,602
abele,306
abelian,1407
abell,704
abella,384
abelson,270
abenaki,539
abend,323
abenteuer,373
abeokuta,266
aber,841
aberavon,461
abercorn,677
abercrombie,1957
abercromby,484
aberdare,893
aberdeen,12845
aberdeenshire,2480
abergavenny,875
abernathy,761
abernethy,785
aberrant,960
aberration,1031
aberrations,662
aberystwyth,2000
abet,508
abetted,433
abetting,709
abeyance,956
abf,307
abg,334
abgar,269
abha,272
abhandlungen,487
abhay,624
abhi,401
abhijeet,459
abhijit,313
abhimanyu,502
abhinav,427
abhishek,991
abhorred,388
abhorrence,315
abhorrent,401
abi,2658
abia,403
abid,753
abide,3106
abides,363
abidin,740
abidine,300
abiding,2156
abidjan,1263
abierto,540
abies,754
abigail,4302
abijah,260
